tool	TP	FP	FN	TN	Precision	Recall	F1	Accuracy	AUC	FPR_list	TPR_list
breakdancer	103	50	297	47550	0.673202614379085	0.2575	0.37251356238698013	0.9927708333333334	0.6282247899159664	[0.0, 0.0010504201680672268, 1.0]	[0.0, 0.2575, 1.0]
lumpy	150	2	250	47598	0.9868421052631579	0.375	0.5434782608695652	0.99475	0.6874789915966386	[0.0, 4.201680672268908e-05, 1.0]	[0.0, 0.375, 1.0]
manta	175	20	224	47581	0.8974358974358975	0.43859649122807015	0.5892255892255892	0.9949166666666667	0.719088165993859	[0.0, 0.00042015924035209345, 1.0]	[0.0, 0.43859649122807015, 1.0]
delly	160	0	242	47598	1.0	0.39800995024875624	0.5693950177935944	0.9949583333333333	0.6990049751243781	[0.0, 0.0, 1.0]	[0.0, 0.39800995024875624, 1.0]
