tool	TP	FP	FN	TN	Precision	Recall	F1	Accuracy	AUC	FPR_list	TPR_list
breakdancer	14	139	386	47461	0.0915032679738562	0.035	0.05063291139240507	0.9890625	0.5160399159663865	[0.0, 0.0029201680672268906, 1.0]	[0.0, 0.035, 1.0]
lumpy	150	2	250	47598	0.9868421052631579	0.375	0.5434782608695652	0.99475	0.6874789915966386	[0.0, 4.201680672268908e-05, 1.0]	[0.0, 0.375, 1.0]
manta	144	51	256	47549	0.7384615384615385	0.36	0.4840336134453782	0.9936041666666666	0.6794642857142856	[0.0, 0.0010714285714285715, 1.0]	[0.0, 0.36, 1.0]
delly	158	2	242	47598	0.9875	0.395	0.5642857142857143	0.9949166666666667	0.6974789915966386	[0.0, 4.201680672268908e-05, 1.0]	[0.0, 0.395, 1.0]
