tool	TP	FP	FN	TN	Precision	Recall	F1	Accuracy	AUC	FPR_list	TPR_list
breakdancer	76	77	325	47522	0.49673202614379086	0.18952618453865336	0.2743682310469314	0.991625	0.593954251747467	[0.0, 0.0016176810437194059, 1.0]	[0.0, 0.18952618453865336, 1.0]
lumpy	150	2	250	47598	0.9868421052631579	0.375	0.5434782608695652	0.99475	0.6874789915966386	[0.0, 4.201680672268908e-05, 1.0]	[0.0, 0.375, 1.0]
manta	154	41	246	47559	0.7897435897435897	0.385	0.5176470588235293	0.9940208333333334	0.6920693277310924	[0.0, 0.0008613445378151261, 1.0]	[0.0, 0.385, 1.0]
delly	159	1	242	47598	0.99375	0.39650872817955113	0.5668449197860963	0.9949375	0.6982438596674138	[0.0, 2.1008844723628648e-05, 1.0]	[0.0, 0.39650872817955113, 1.0]
