tool	TP	FP	FN	TN	Precision	Recall	F1	Accuracy	AUC	FPR_list	TPR_list
breakdancer	0	153	400	47447	0.0	0.0	0.0	0.9884791666666667	0.49839285714285714	[0.0, 0.0032142857142857142, 1.0]	[0.0, 0.0, 1.0]
lumpy	0	152	400	47448	0.0	0.0	0.0	0.9885	0.49840336134453783	[0.0, 0.0031932773109243696, 1.0]	[0.0, 0.0, 1.0]
manta	0	195	400	47405	0.0	0.0	0.0	0.9876041666666666	0.4979516806722689	[0.0, 0.004096638655462185, 1.0]	[0.0, 0.0, 1.0]
delly	0	160	400	47440	0.0	0.0	0.0	0.9883333333333333	0.49831932773109244	[0.0, 0.0033613445378151263, 1.0]	[0.0, 0.0, 1.0]
