tool	TP	FP	FN	TN	Precision	Recall	F1	Accuracy	AUC	FPR_list	TPR_list
breakdancer	99	54	301	47546	0.6470588235294118	0.2475	0.3580470162748644	0.9926041666666666	0.6231827731092437	[0.0, 0.001134453781512605, 1.0]	[0.0, 0.2475, 1.0]
lumpy	150	2	250	47598	0.9868421052631579	0.375	0.5434782608695652	0.99475	0.6874789915966386	[0.0, 4.201680672268908e-05, 1.0]	[0.0, 0.375, 1.0]
manta	173	22	226	47579	0.8871794871794871	0.43358395989974935	0.5824915824915825	0.9948333333333333	0.716560892367681	[0.0, 0.0004621751643873028, 1.0]	[0.0, 0.43358395989974935, 1.0]
delly	160	0	242	47598	1.0	0.39800995024875624	0.5693950177935944	0.9949583333333333	0.6990049751243781	[0.0, 0.0, 1.0]	[0.0, 0.39800995024875624, 1.0]
